S1PR3
MFSD2B
SPHK2
S1PR5
SGPP1
SPHK1
F2RL1
S1PR2
LPAR6
CERK
S1PR4
SGPP2
GNA12
GNA13
GNA15
LPAR4
PROCR
GNAI1
APOM
F2R
BAX
BID
TSPAN33
BCL2L10
BCL2L2
BAD
BBC3
BIK
C6
C7
BAK1
TMBIM6
BCL2L12
C8B
PDZD11
PMAIP1
HKDC1
RTL10
C8A
C9
RARG
RARB
RARA
RXRB
CRABP2
RBP2
RXRG
RBP1
RARRES1
CRABP1
STRA6
RXRA
HOXB3
HOXD4
NCOA1
HOXA1
NRIP1
HOXB1
PRAM1
RARS1
SLC5A1
PDZK1IP1
MFSD4B
RSC1A1
GLP2R
TAS1R2
SLC2A5
NEDD8-MDP1
TAS1R3
SLC2A7
MDP1
LCT
SLC15A1
SLC6A19
SLC10A2
FFAR4
TAS2R4
SLC2A11-2
TMIGD1
TAS1R1
CRBN
DCAF4
DCAF16
DCAF8L1
DDA1
FAM83G
DCAF8
DCAF8L2
DCAF6
DCAF4L1
DCAF15
DET1
DCAF12
ZFP91
DCAF5
DCAF12L2
DCAF11
H0YL77_HUMAN
TRPC4AP
PRSS12
LDHA
BCL2
BCL2L1
LDHC
HRK
BLID
BMF
MPST
SAA2-SAA4
GLYCTK
ME3
TST
GOT1L1
ME2
BNIP3
TYMS
DCTD
NT5C3B
ENOSF1
NT5M
CDADC1
NT5C
SPATA20
PPCDC
ENSP00000496817
NT5C3A
TFCP2
MTHFD2L
CEP44
NUDT15
FPGS
DTYMK
ENTPD3
AMT
HRH2
SDR42E2
HRH1
HRH3
GAST
HDC
HRH4
ATP4A
ATP12A
GNAS
RBP3
HNMT
ADORA2B
GNAL
CYSLTR2
GPR148
AOC1
SSTR4
MRGPRX2
IL3
DNMT1
ZNF304
MBD2
KMT5C
PHRF1
MBD4
UHRF2
TET3
DNMT3L
ZNF57
BAZ2A
UHRF1
KMT5B
ZFP57
TET1
L3MBTL3
RASAL1
SAP30
DNMT3B
DRD2
PPP2R3B
PPP2R3A
PPP2R3C
ANKK1
SSTR5
PAWR
CNR1
SSTR2
C3orf84
DRD4
SLC6A3
EDN2
RGS9
SLC18A2
DBH
ADORA2A
OXTR
PPP2R5B
FXYD6
ESR1
ESR2
NCOA7
GPER1
ZDHHC21
AHR
CCDC62
HEATR6
NCOA2
GREB1
NCOA3
STRN
TFF1
ZDHHC7
SHBG
SRA1
MIER1
TOP2A
TOP2B
TOP1MT
TDP2
KCTD9
TOPBP1
ZNF451
TOP1
SMC2
NCAPH
TDP1
CDCA3
TOP3A
SMC6
SMC4
DLGAP5
NEIL3
NUSAP1
ESPL1
PTTG1
PDE5A
PDE2A
NPR2
PDE6G
GUCY1B1
GUCY2C
PDE11A
GUCY1A1
NPR1
GUCY1A2
GUCY2F
CANT1
ENTPD6
ENTPD4
ENTPD5
PDE1B
PDE11A-2
ADCY6
HMGCR
IDI2
NPC1L1
PMVK
IDI1
MVD
INSIG2
MSMO1
INSIG1
UBIAD1
HSD17B7
STARD4
HMGCS1
SC5D
LSS
HMGCS2
EBP
CHURC1-FNTB
DHCR7
SREBF2
RRM1
CELF6
NTPCR
THAP3
THAP2
THAP1
ENTPD8
ESRP2
AK6
ENTPD2
RRM2B
DCTPP1
DHFR
IMPACT
TCN2
GGH
ZNF679
FTCD
SLC19A1
IBA57
TPH2
SLC46A1
DHFR2
AKR1B10
OR52E4
MTHFD1L
PAH
MTR
MTHFD1
PTGS2
ALOX15B
PTGES
ALOX12B
PLA2G2F
ALOX12
PLA2G5
PLA2G2E
PLA2G2C
PLA2G10
PLA2G2D
PTGES2
ALOX15
PLA2G4B
PLA2G12A
CYP4F8
PLA2G4D
PLA2G2A
CYP2J2
PLA2G4C
STAT3
NANOGP8
STAP2
GHDC
IL20RA
IL22RA1
IL26
IL6ST
IL19
SOCS7
IL27RA
IL20
EBI3
IL21R
IL23R
IL10RB
IL24
IL12RB2
SOCS5
IL17F
CKAP2L
PCLAF
CDCA5
CKAP2
E2F8
HJURP
NCAPG
RAD51AP1
CEP55
ZWINT
KIF15
KIF4A
CDCA2
TROAP
ATP1B4
ATP1B3
ATP1B2
ATP1B1
ATP1A4
ATP1A2
ATP1A1
ATP1A3
FXYD2
FXYD1
FXYD4
FXYD7
PLN
ATP4B
PRKG2
FXYD3
ABCA2
ABCD4
ABCB6
RAC1
TIAM1
TRIO
RAC3
VAV2
DOCK1
CHN2
CHN1
ARHGEF19
ARHGEF1
ABLIM2
WASL
BAIAP2
MCF2
PAK1
RHOG
ARHGAP35
PREX1
RAC2
KALRN
MAPK8
MAPK9
ELK1
DUSP7
DUSP16
MAP2K7
MAP2K6
DUSP9
PTPRR
RALGDS
DUSP8
PTPN7
DUSP10
MAPK8IP1
NFATC3
MAPK8IP3
PCYT1B
MAPK8IP2
PPP2CA
MAPK1
UGCG
ASAH2
SGMS1
CERS4
SGMS2
CERS5
ACER1
ACER2
SMPD2
DEGS2
CERS3
CERS6
DEGS1
B4GALT6
ENPP7
BTBD2
BTBD1
TOPORS
RMI1
TENT4B
APLF
LIG3
RECQL5
RAD52
TRIM5
MUS81
WRN
CENPC
XRCC1
XRCC5
SLX1A
CDK5
CDK5R1
CDK1
CCNB1
SPDYE2B
CDC25B
CDK5RAP3
CABLES1
CDC25C
CDK5RAP2
CDC25A
SPDYE5
CDK3
SPDYE6
CCNY
AATK
NDEL1
CDK2
NAB2
CDK5R2
KPNB1
SNUPN
IPO11
SENP2
NUP62
ZBED1
POM121
POM121C
NUP62CL
NUP58
KPNA5
NUP50
IPO9
NUP54
KPNA7
NUP153
NUP88
PTHLH
NUP160
ADGRD1
TP53
TP53AIP1
SETD9
PRIMA1
PPP1R13B
ZNF420
PPP1R13L
MYC
MAGEA2B
AKT1
ZNF385A
HIPK1
GAPDH
C10orf90
CTNNB1
ACTB
TP53BP2
EGFR
JUN
HSP90AA1
AIP
CDC37L1
MOS
ITGB1BP2
CHORDC1
ST13
HSP90AB1
HSF1
UNC45B
HTN3
UNC45A
AIPL1
FKBPL
SUGT1
AHSA1
CCDC117
BAG1
PTGES3L
MYH2
MYH1
TNNT3
MYH13
MYH8
MYH14
TNNI2
MYBPC2
TNNI1
CKM
MYH4
MYL5
MYLPF
SLN
MYH3
MYOZ1
MYL1
MYF6
CSRP3
TNNT1
SPDYE16
SPDYE1
SPDYE2
WEE2
USP17L21
PKMYT1
SPDYE3
WEE1
USP17L20
ORC3
USP17L12
USP17L10
USP17L5
FNTA
FNTB
CHURC1
PGGT1B
RCE1
PDSS1
TP53TG5
NUS1
DHDDS
GGPS1
ZMPSTE24
RABGGTA
PDSS2
FDPS
ICMT
ENSP00000492202
FDFT1
GNGT1
PPP3R2
PPP3CC
PPP3R1
PPP3CB
PPP3CA
PPP1R1A
PPP4R3C
NFATC4
RCAN3
SSH3
CRTC2
RCAN1
RCAN2
SSH1
SSH2
PTPA
TGFBR1
BAMBI
ZFYVE9
GDF11
ACVR1C
GDF2
ACVR1B
SMAD6
ACVR2B
ACVR1
ACVR2A
DACT2
PARD6A
TGFBR3
BMP10
GDF9
MSTN
ZNF169
SKIL
NODAL
CXCR2
CCL16
CCL15
CCL1
CCL4L2
CXCL6
CCL27
CXCL3
CCL28
CCL7
GRK6
CCL25
CXCL17
PF4V1
CXCR1
CCL8
CCL24
CXCL16
PPBP
CXCL5
EPGN
CBLC
SHC4
CBLB
NRG4
ERRFI1
BTC
MTRNR2L5
IGKV2D-28
SHC2
NRG3
IGKV2D-29
LAPTM4B
SHC3
GAB2
ERBB2
IGHV3-16
FASN
ELOVL6
ACAT2
THRSP
AACS
CYP51A1
SMO
MOSMO
BOC
CSNK1A1L
EVC
EVC2
MEGF8
PTCH2
STK36
BBIP1
MGRN1
CSNK1G2
RAB23
KIF27
CDON
KIF7
CSNK1G3
SSTR3
SUFU
SRC
LCK
KIT
YES1
EPHA2
SH2B2
